simulation_id,treatment_id,intercrop,soilN,diffusion,lateral_enabled,influx_max,KM,NC_MIN,K2,coverage,total_root_biomass,total_uptake_μmol,total_uptake_mg,m3_uptake_cereal,uptake_per_gram_mg,uptake_per_gram_legume_mg,uptake_per_gram_cereal_mg,total_legume_uptake_mg,total_cereal_uptake_mg,final_soil_N_μmol,final_soil_N_mg,start_soil_N_per_layer
Treatment6_Rep16,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.901147355318177,73828.31833176792,1033.596456644751,73828.31833176792,104.39158408137195,NaN,104.39158408137193,0.0,1033.596456644751,66171.68166823208,926.4035433552491,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep17,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.9164220255634,73870.04479768396,1034.1806271675755,73870.04479768398,104.28969486187421,NaN,104.2896948618742,0.0,1034.1806271675757,66129.95520231605,925.8193728324247,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep18,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.919269327172582,73854.38847874835,1033.961438702477,73854.38847874835,104.23766152513579,NaN,104.23766152513579,0.0,1033.961438702477,66145.61152125166,926.0385612975233,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep19,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.68,9.895087368508229,73077.18467067054,1023.0805853893876,73077.18467067053,103.39277939529966,NaN,103.39277939529966,0.0,1023.0805853893874,66922.81532932947,936.9194146106126,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep20,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.71,9.904082702697238,75403.31283645627,1055.646379710388,75403.31283645629,106.58699158710552,NaN,106.58699158710554,0.0,1055.6463797103881,64596.68716354372,904.3536202896121,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep1,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.253616888836978,77686.33790300226,1087.6087306420318,42728.92190322899,131.77359032898937,148.58752297592292,120.60802883813011,489.4038239968256,598.2049066452059,62313.66209699776,872.3912693579687,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep2,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.7,8.240562803112436,77484.73033166907,1084.786224643367,42928.929868288615,131.63982249290626,146.17494173261366,121.88401303442016,483.7812064873264,601.0050181560406,62515.269668330926,875.2137753566329,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep3,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.71,8.257552757586412,77873.50450346456,1090.2290630485038,43254.66266137761,132.02810748582675,146.90865847628447,122.12743992755011,484.6637857892174,605.5652772592865,62126.49549653543,869.7709369514961,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep4,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.69,8.268889283769568,77373.9502378684,1083.2353033301576,43379.04652690899,131.00130696590236,147.4590593433979,120.46488068923311,475.9286519534317,607.3066513767259,62626.04976213161,876.7646966698426,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep5,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.68,8.220146744772928,76981.2985674406,1077.7381799441682,42528.82109151299,131.10936013757743,144.84110011437738,121.75812812484482,482.33468466298666,595.4034952811819,63018.70143255941,882.2618200558317,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep6,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.69,8.250598188922707,77415.33307248358,1083.81466301477,42501.99169259,131.361949545659,146.58135234517908,121.03850627690301,488.7867793185101,595.02788369626,62584.66692751641,876.1853369852297,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep7,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.71,8.310799220942737,77602.7682289285,1086.438755204999,43901.48171541693,130.72614634549657,149.10047327488775,119.42803130998706,471.81801118916223,614.620744015837,62397.23177107152,873.5612447950014,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep8,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.7,8.306435459296978,77516.86392885697,1085.2360950039977,44239.29637286423,130.65003638706986,148.59190140630943,119.771526917604,465.8859457838986,619.3501492200992,62483.136071143024,874.7639049960023,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep9,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.71,8.190932127839444,78178.2961535674,1094.4961461499436,42499.011561151434,133.62290506961426,145.6090464841016,124.98541270832729,499.5099842938235,594.9861618561201,61821.7038464326,865.5038538500564,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep10,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.69,8.291311794478236,77382.89513997808,1083.3605319596932,43619.23007660032,130.66213873191677,146.52978749734615,120.55681969100148,472.6913108872886,610.6692210724044,62617.10486002194,876.6394680403072,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep11,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.239443148017104,78064.68014924697,1092.9055220894575,43297.50293374481,132.64312920861346,147.00489968136395,122.99444176480317,486.74048101703056,606.1650410724274,61935.31985075301,867.0944779105422,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep12,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.71,8.226021915199446,77817.90079801124,1089.4506111721573,42801.73764269582,132.4395464056751,145.89909621700883,123.14552390259972,490.2262841744155,599.2243269977415,62182.09920198878,870.5493888278429,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep13,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.68,8.255931992878404,76775.7115512632,1074.8599617176849,42679.867458632194,130.19244376587196,146.53295970006988,119.54286370232958,477.3418172968339,597.5181444208507,63224.28844873681,885.1400382823153,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep14,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.23386176086994,77960.70779991733,1091.4499091988428,43138.16618690652,132.55625864230282,147.37541691933765,122.6044183455768,487.5155825821513,603.9343266166914,62039.292200082695,868.5500908011577,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep15,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.264281903506381,78093.20677451015,1093.3048948431422,43545.82592280966,132.29278812225334,148.41399011895373,121.79671719430353,483.6633319238067,609.6415629193352,61906.793225489855,866.695105156858,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep16,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.163167737445155,78058.23255012494,1092.8152557017493,41585.80215985326,133.87146887707712,145.84770432777867,124.878018400582,510.61402546380333,582.2012302379457,61941.76744987506,867.1847442982508,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep17,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.69,8.269262925190034,76715.15751029104,1074.0122051440746,42477.828492260065,129.88004068323815,148.3302941811607,118.04529993347758,479.3226062524336,594.6895988916409,63284.84248970896,885.9877948559255,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep18,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.72,8.25270112984874,78279.57984180965,1095.914117785335,43961.41268341622,132.7945966468583,146.27038382992242,123.88479195825485,480.45434021750805,615.4597775678271,61720.42015819035,864.0858822146649,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep19,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.71,8.273400501780973,77307.56078473535,1082.305850986295,42828.28374128738,130.81753394548136,148.7849666507748,119.22637662361711,482.70987860827154,599.5959723780232,62692.43921526464,877.694149013705,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment7_Rep20,7,true,140.0,0.00018,true,250.0,50,0.01,1.46,0.68,8.279617880310028,76904.7400670896,1076.6663609392544,43043.86553519949,130.03817042084785,145.62028949827643,119.9418681967764,474.0522434464617,602.6141174927928,63095.25993291039,883.3336390607454,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment8_Rep1,8,true,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,8.300243210482202,70621.78305022854,988.7049627031995,38930.18816803313,119.11758940443876,136.9910291311791,107.68061541124048,443.6823283507357,545.0226343524638,69378.21694977143,971.2950372968002,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment8_Rep2,8,true,140.0,0.00018,false,250.0,50,0.01,1.46,0.68,8.17681636751125,67791.70208733494,949.0838292226891,35053.022299206896,116.07009214413343,133.35067544296584,103.53864187208964,458.3415170337926,490.74231218889656,72208.29791266506,1010.9161707773109,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment8_Rep3,8,true,140.0,0.00018,false,250.0,50,0.01,1.46,0.7,8.22367145999468,69249.55831233082,969.4938163726315,37268.33000718872,117.89063085616732,135.38819305656205,106.12123289157341,447.73719627198915,521.7566201006421,70750.44168766918,990.5061836273686,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
