simulation_id,treatment_id,intercrop,soilN,diffusion,lateral_enabled,influx_max,KM,NC_MIN,K2,coverage,total_root_biomass,total_uptake_μmol,total_uptake_mg,m3_uptake_cereal,uptake_per_gram_mg,uptake_per_gram_legume_mg,uptake_per_gram_cereal_mg,total_legume_uptake_mg,total_cereal_uptake_mg,final_soil_N_μmol,final_soil_N_mg,start_soil_N_per_layer
Treatment4_Rep6,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.240520481200708,14612.989855454985,204.5818579763698,7796.135942037516,24.826327225699785,28.948939041538807,22.077236427231348,95.4359547878446,109.14590318852522,5387.010144545015,75.41814202363021,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep7,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.228749925853588,14610.15265414576,204.54213715804065,7795.364387970478,24.857012183028882,28.977511251626606,22.108689716736738,95.40703572645397,109.13510143158669,5389.8473458542385,75.45786284195934,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep8,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.252677476192757,14618.790487487826,204.66306682482957,7796.648957264017,24.799595939043975,28.912773079809682,22.054274588567168,95.50998142313335,109.15308540169623,5381.209512512173,75.33693317517043,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep9,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.246607796189572,14613.799274683888,204.59318984557444,7794.934497402902,24.809375551982573,28.94266809831294,22.05420439175999,95.46410688193382,109.12908296364063,5386.200725316114,75.4068101544256,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep10,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.250127624444595,14619.37787303765,204.67129022252712,7798.506052484983,24.80825746453901,28.904944919916773,22.07214636473626,95.49220548773734,109.17908473478977,5380.62212696235,75.32870977747291,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep11,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.251146513319792,14618.350792327972,204.65691109259163,7795.477712493001,24.803451346090483,28.931530089297997,22.049817856394935,95.52022311768961,109.13668797490202,5381.649207672028,75.34308890740839,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep12,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.241430869083654,14617.50446377974,204.64506249291637,7792.369024726883,24.831253910119905,28.907473160635416,22.101570377084816,95.55189614674005,109.09316634617637,5382.495536220256,75.35493750708359,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep13,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.227590402118077,14604.345741912593,204.4608403867763,7791.356129901193,24.850634316231975,28.978621849727546,22.098057657428015,95.38185456815958,109.0789858186167,5395.654258087408,75.53915961322372,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep14,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.237578854712224,14613.781000335874,204.59293400470224,7791.356786802957,24.83653724148169,28.935085433120033,22.09595027149948,95.51393898946085,109.0789950152414,5386.2189996641255,75.40706599529776,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep15,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.249277222445793,14622.273847768362,204.71183386875705,7796.476456743484,24.81572971165866,28.903963134090155,22.081349386258758,95.56116347434829,109.15067039440878,5377.726152231639,75.28816613124296,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep16,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.25078891652426,14618.059283809396,204.65282997333156,7793.897393316245,24.80403171670812,28.916322227931975,22.057460416707244,95.5382664669041,109.11456350642743,5381.940716190605,75.34717002666846,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep17,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.23695869924493,14605.29595465357,204.47414336514998,7791.492016719261,24.823985506190997,29.00638645667466,22.044290401554377,95.39325513108037,109.08088823406966,5394.704045346427,75.52585663484997,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment4_Rep18,4,true,20.0,0.00018,false,250.0,50,0.01,1.46,1.0,8.254238815351613,14617.32530060593,204.642554208483,7795.291150034322,24.79241984468385,28.93729833965727,22.030790146608354,95.50847810800256,109.1340761004805,5382.674699394065,75.35744579151691,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
